"gen","Banket_SCL","Bindura_SCL","Chisumbanje_CBI","Goromonzi_SCL","Gwebi_CBI","Harare_CBI","Harare_KKR","Harare_SCL","Kadoma_CBI","Mutare_SCL","Shamva_CBI","Stapleford_SCL"
"G_1",NA,0.14875,NA,0.105,0.560125,0.163125,0.557,NA,NA,NA,NA,NA
"G_10",0.5485,0.417625,NA,0.317625,NA,0.412125,NA,0.5835,NA,0.52825,NA,0.3655
"G_11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.511625,NA
"G_12",0.084,0.067625,0.37,0.048,NA,0.067,NA,0.097125,0.372,0.08125,0.129875,0.054
"G_13",0.8635,0.83025,NA,0.8145,0.94625,0.846625,0.948875,0.8825,NA,0.863375,0.884875,0.809875
"G_14",0.476375,NA,NA,0.226375,NA,NA,NA,NA,NA,0.457125,0.702,0.2205
"G_15",0.051125,0.0395,0.176375,0.02775,NA,0.040625,NA,0.063125,0.122375,0.05375,0.086375,0.031375
"G_16",0.162375,0.076375,NA,0.0355,0.776125,0.113625,0.772375,NA,NA,0.1605,0.525,0.040375
"G_17",0.658125,0.536125,NA,0.442375,NA,0.527375,NA,0.70175,NA,0.6515,NA,0.50625
"G_18",0.069375,0.0595,0.675875,0.04375,NA,0.05975,NA,0.080875,0.642125,0.0695,0.117375,0.04975
"G_19",0.103,0.08825,NA,0.059625,NA,0.07125,NA,0.123125,NA,0.0995,NA,0.0685
"G_2",0.758625,0.672375,NA,0.568375,NA,0.664125,NA,0.7825,NA,0.74125,NA,0.60375
"G_20",NA,0.78625,NA,0.69975,0.948625,0.805375,0.94975,NA,NA,NA,NA,0.725625
"G_21",NA,0.49175,NA,0.38825,0.890125,0.53625,0.895125,NA,NA,NA,NA,0.428875
"G_22",0.043125,0.0345,0.126875,0.02225,NA,0.0365,NA,0.054375,0.111,0.0425,0.0625,0.025625
"G_23",0.051125,0.042375,0.1405,0.030625,NA,0.043625,NA,0.062125,0.12875,0.050625,0.072125,0.0335
"G_24",0.055125,0.04375,0.203625,0.028375,NA,0.04225,NA,0.0685,0.150875,0.05625,0.088125,0.031625
"G_25",0.815625,0.69425,0.954875,0.521,0.956375,0.65325,0.956125,0.874875,0.954875,0.80775,0.907125,0.529875
"G_26",0.0875,0.063125,0.912625,0.0545,NA,0.06375,NA,0.11775,0.9025,0.103125,0.39175,0.05425
"G_27",0.095375,0.081125,0.930625,0.048125,NA,0.070125,NA,0.12125,0.896875,0.143375,0.406,0.05425
"G_28",0.759375,0.63125,0.9635,0.36125,0.9525,0.600875,0.95375,0.837875,0.958,0.803625,0.881875,0.5035
"G_29",0.31,0.20525,0.900375,0.126625,0.881375,0.150125,0.87175,0.450875,0.9015,0.334625,0.834875,0.117
"G_3",0.833625,0.81775,NA,0.7935,0.901125,0.822625,0.9035,0.8465,NA,0.83125,0.849,0.790125
"G_30",0.171625,NA,NA,0.092125,NA,NA,NA,NA,NA,0.162875,0.428875,0.092625
"G_31",0.348375,0.19825,0.935125,0.137625,NA,0.192375,NA,0.459375,0.94875,0.37125,0.79375,0.178625
"G_32",0.90275,0.887375,NA,0.8565,0.963125,0.883125,0.96175,0.916625,NA,0.898875,0.931375,0.856375
"G_33",NA,0.341875,NA,0.253625,0.82525,0.354875,0.846375,NA,NA,NA,NA,NA
"G_34",NA,0.47925,NA,0.357625,0.899,0.499,0.899125,NA,NA,NA,NA,0.405875
"G_35",NA,0.131625,NA,0.076875,0.61475,0.141375,0.629375,NA,NA,NA,NA,0.0945
"G_36",NA,NA,NA,0.4525,NA,NA,NA,NA,NA,NA,NA,0.455875
"G_37",0.067375,0.056375,NA,0.03625,NA,0.050125,NA,0.07925,NA,0.068625,NA,0.046
"G_38",NA,0.75125,NA,0.68825,0.920125,0.753375,0.920875,NA,NA,NA,NA,0.71525
"G_39",NA,0.16875,NA,0.102,0.65775,0.172,0.64425,NA,NA,NA,NA,0.119375
"G_4",0.836625,0.759125,NA,0.6365,0.921625,0.769375,0.91975,0.8585,NA,0.810375,NA,0.713125
"G_40",0.81325,0.729875,NA,0.662875,NA,0.753,NA,0.845875,NA,0.797375,NA,0.672375
"G_41",0.426625,0.25,0.950375,0.15375,NA,0.240375,NA,0.555375,0.931875,0.456375,0.85425,0.221
"G_42",0.885375,0.870125,NA,0.840375,NA,0.8585,NA,0.9015,NA,0.88075,NA,0.85375
"G_43",0.778875,0.71975,0.92175,0.56875,NA,0.667375,NA,0.834875,0.924125,0.81775,0.864875,0.61825
"G_44",0.811125,0.752375,NA,0.619875,0.929,0.75525,0.9275,0.833875,NA,0.80375,NA,0.7105
"G_45",0.83525,0.811,NA,0.792,NA,0.811125,NA,0.850375,NA,0.812125,0.8615,0.798375
"G_46",0.84675,0.801625,0.9635,0.711,NA,0.787375,NA,0.875125,0.965375,0.87925,0.92,0.726625
"G_47",0.693375,0.426625,0.948875,0.220125,0.937875,0.446125,0.9315,0.78025,0.946625,0.6515,0.904875,0.278875
"G_48",0.0755,NA,NA,0.038125,NA,NA,NA,NA,NA,0.068875,0.111375,0.04325
"G_49",0.348875,NA,NA,0.149125,NA,NA,NA,NA,NA,0.33975,0.68675,0.16
"G_5",0.0835,0.060125,0.687625,0.03175,NA,0.060625,NA,0.095125,0.696625,0.0805,0.148625,0.044125
"G_50",NA,NA,NA,0.74025,NA,NA,NA,NA,NA,NA,NA,0.754375
"G_51",0.56175,0.4175,NA,0.246125,0.894125,0.4185,0.888125,0.63525,NA,0.543625,NA,0.3035
"G_52",0.430125,0.235125,0.92975,0.149625,NA,0.236875,NA,0.57225,0.92925,0.425875,0.830375,0.203
"G_53",NA,0.72125,NA,0.64725,0.87075,0.72425,0.87125,NA,NA,NA,NA,NA
"G_54",0.0905,0.075125,0.664875,0.054375,NA,0.076375,NA,0.107,0.698625,0.101875,0.1695,0.073625
"G_56",0.07625,0.0625,0.667125,0.04225,NA,0.0635,NA,0.09975,0.698,0.077375,0.120875,0.051
"G_57",0.048125,0.03525,0.162375,0.02675,NA,0.036125,NA,0.058,0.223625,0.046,0.07,0.030375
"G_58",NA,0.093625,NA,0.06675,0.4255,0.09075,0.4205,NA,NA,NA,NA,NA
"G_59",0.080625,0.0675,NA,0.048,NA,0.07075,NA,0.09325,NA,0.080125,NA,0.057375
"G_6",0.49225,0.358625,NA,0.256625,NA,0.35,NA,0.568,NA,0.48525,NA,0.314
"G_60",NA,NA,NA,0.0535,NA,NA,NA,NA,NA,NA,NA,0.059375
"G_61",NA,NA,NA,0.0295,NA,NA,NA,NA,NA,NA,NA,0.034625
"G_62",0.0595,0.046625,0.511875,0.035375,NA,0.048,NA,0.06925,0.490125,0.059,0.107875,0.04225
"G_63",0.3485,NA,NA,0.17625,NA,NA,NA,NA,NA,0.317875,0.66225,0.14725
"G_64",0.171875,NA,NA,0.079875,NA,NA,NA,NA,NA,0.165,0.47075,0.074875
"G_65",0.03775,0.027875,0.548375,0.01975,NA,0.030625,NA,0.05875,0.598,0.042125,0.078375,0.023875
"G_66",0.05525,0.03075,NA,0.021375,NA,0.036875,NA,0.05525,NA,0.04175,NA,0.027125
"G_67",0.05225,NA,NA,0.02625,NA,NA,NA,NA,NA,0.054375,0.07475,0.0315
"G_68",0.178375,0.123625,0.89925,0.101125,NA,0.132625,NA,0.25375,0.9345,0.180625,0.631625,0.111
"G_69",0.05775,0.04625,0.533125,0.029375,0.1605,0.047875,0.157375,0.07,0.533125,0.057,0.084125,0.036
"G_7",0.05825,0.04925,0.216625,0.033625,NA,0.049375,NA,0.07025,0.167125,0.05825,0.08075,0.038875
"G_70",0.075375,0.05625,0.895375,0.036875,NA,0.052375,NA,0.105375,0.89525,0.114,0.2985,0.0445
"G_71",0.2025,0.13425,NA,0.0875,NA,0.140625,NA,0.218125,NA,0.18125,NA,0.106625
"G_72",0.136,NA,NA,0.078375,NA,NA,NA,NA,NA,0.132125,0.266375,0.08925
"G_73",0.654,0.54225,NA,0.41125,NA,0.548125,NA,0.713,NA,0.6535,NA,0.4365
"G_74",NA,NA,NA,0.05175,NA,NA,NA,NA,NA,NA,NA,0.057375
"G_75",0.080625,0.07125,0.40475,0.05775,NA,0.072375,NA,0.091,0.415125,0.083,0.097,0.062875
"G_76",NA,0.07675,NA,0.056375,0.273875,0.07625,0.27225,NA,NA,NA,NA,NA
"G_77",NA,NA,NA,0.037125,NA,NA,NA,NA,NA,NA,NA,0.0475
"G_78",NA,NA,NA,0.096875,NA,NA,NA,NA,NA,NA,NA,0.104875
"G_79",NA,0.064375,NA,0.0495,0.166125,0.06625,0.166125,NA,NA,NA,NA,NA
"G_8",0.2125,0.144875,0.9505,0.08775,NA,0.128125,NA,0.389875,0.951625,0.224,0.7775,0.12475
"G_80",NA,0.07575,NA,0.05225,0.315375,0.07725,0.311875,NA,NA,NA,NA,NA
"G_81",NA,0.060875,NA,0.039875,0.2165,0.062875,0.206125,NA,NA,NA,NA,NA
"G_82",NA,NA,NA,0.04275,NA,NA,NA,NA,NA,NA,NA,0.04725
"G_83",NA,NA,NA,0.05025,NA,NA,NA,NA,NA,NA,NA,0.055625
"G_84",NA,NA,NA,0.07525,NA,NA,NA,NA,NA,NA,NA,0.084
"G_85",NA,NA,NA,0.03525,NA,NA,NA,NA,NA,NA,NA,0.037625
"G_86",NA,NA,NA,0.02375,NA,NA,NA,NA,NA,NA,NA,0.030125
"G_87",NA,NA,NA,0.030875,NA,NA,NA,NA,NA,NA,NA,0.0355
"G_88",NA,NA,NA,0.02475,NA,NA,NA,NA,NA,NA,NA,0.025875
"G_89",NA,NA,NA,0.233375,NA,NA,NA,NA,NA,NA,NA,0.23975
"G_9",NA,0.066125,NA,0.04025,0.461,0.077875,0.469125,NA,NA,NA,NA,0.049875
"G_90",NA,NA,NA,0.06675,NA,NA,NA,NA,NA,NA,NA,0.067625
"G_91",NA,NA,NA,0.1065,NA,NA,NA,NA,NA,NA,NA,0.11375
"G_92",NA,NA,NA,0.026125,NA,NA,NA,NA,NA,NA,NA,0.030375
"G_93",NA,NA,NA,0.74275,NA,NA,NA,NA,NA,NA,NA,0.76325
"G_94",NA,0.10075,NA,0.07925,0.42075,0.10725,0.42825,NA,NA,NA,NA,NA
"G_95",NA,0.059,NA,0.039,0.163875,0.06075,0.168,NA,NA,NA,NA,NA
"G_96",NA,0.06075,NA,0.043375,0.1505,0.05925,0.15225,NA,NA,NA,NA,NA
"G_97",NA,NA,NA,0.0235,NA,NA,NA,NA,NA,NA,NA,0.027375
"G_98",0.08875,0.07275,0.8535,0.04825,NA,0.072375,NA,0.137125,0.911375,0.096875,0.222625,0.054875
