"gen","g","HPD95","HPD97.5","HPD5","HPD7.5"
"G_1",51.5738065875811,404.458535932079,467.760022459163,-316.781821843236,-399.255106301447
"G_2",-47.7826795773641,319.850371598584,392.865579240987,-400.773228333459,-471.75691810783
"G_3",353.251735515188,560.435261190892,601.687112698768,101.266738935893,53.3460927573092
"G_4",114.580768425348,363.39699390173,412.546458507823,-149.995249018489,-204.414403129303
"G_5",-267.003880655728,22.5136876777713,83.6608335264606,-496.774836523951,-539.622668616541
"G_6",-275.30668822255,120.965718152124,196.278888622488,-615.702229367677,-677.530752886806
"G_7",-316.583241078567,-55.525798888326,5.58342625095944,-563.963639042546,-621.614281235955
"G_8",168.49864659926,369.275322986399,417.7581035523,-36.6179507677799,-82.5461330084903
"G_9",205.733981299602,467.652813876119,517.660060406753,-98.2649475179259,-157.82783833918
"G_10",-182.733466903173,180.946261326121,263.270057342144,-519.843008360628,-602.562578773568
"G_11",102.795015788256,601.241699922231,700.473783216712,-388.967334947837,-484.603825796226
"G_12",-297.506401546577,-35.5029193240176,29.5169438330849,-545.046526388298,-598.503660140515
"G_13",407.258975678528,620.076763012812,655.588886530365,144.595065575703,92.8313033621998
"G_14",228.164401657156,554.824510124308,619.306723270895,-143.574275978486,-223.526627425179
"G_15",-678.951923092145,-373.778811924009,-302.326508011822,-914.900866513126,-955.441156792731
"G_16",194.003939788315,412.376912083239,453.783432842727,-51.697304108028,-100.3580048107
"G_17",-56.31496012143,299.259148723411,383.019428876317,-408.791547832425,-486.739130770987
"G_18",-114.374018353496,137.29022395998,197.717162180631,-368.752561349087,-423.799759125765
"G_19",-544.503655184266,-105.935092136745,-23.7892335645749,-899.601246543475,-966.035122985764
"G_20",702.011909845058,979.167952782219,1035.61583532516,374.182240411313,314.45452707627
"G_21",321.281938197955,615.168220376656,663.107713816796,-13.0154788632056,-87.98298941145
"G_22",-457.350090056728,-53.4580602001779,32.1379024212435,-743.180483191221,-803.058474717066
"G_23",-850.720671339234,-361.939531777852,-275.291441544431,-1176.38422455313,-1228.72937133362
"G_24",-357.12560358102,25.448805446254,105.757377050508,-645.8476997107,-700.317568845605
"G_25",366.597690173387,548.699081797431,584.957244958483,154.678882271472,101.267648005588
"G_26",180.567477076686,455.522853587315,518.156755852529,-118.053998415978,-184.835487526582
"G_27",163.827279830955,399.361030898225,445.834324516801,-104.137376814088,-156.761354149808
"G_28",379.578878289876,571.082323047527,615.150509826105,172.849969605215,128.117382064248
"G_29",226.097210859081,413.747035139418,456.370485308353,12.3161448400769,-37.5279309286891
"G_30",50.7384393996266,377.846463243584,447.112272849213,-325.230143211176,-412.437315039968
"G_31",341.965030417513,639.315824487226,706.750872893121,47.6655670975476,-22.2251256161428
"G_32",585.997087066064,794.077194384053,833.450446539978,334.287694231969,278.493517116541
"G_33",351.956925595241,709.66708560073,768.854576741589,-72.7923753306372,-142.898516193712
"G_34",467.404294210868,769.098462368341,825.431474022517,94.8281296560633,26.8940348554207
"G_35",15.7595546293307,304.033647988918,355.226495081971,-307.630476096253,-374.077713074958
"G_36",340.937446269348,764.50762234828,841.318103267429,-103.25059227382,-186.649840353726
"G_37",-684.884812383859,-226.528007077247,-146.090661027933,-1066.4724063757,-1122.73008292358
"G_38",587.056019257318,891.043129784728,948.060527696127,219.265965987742,145.906635080602
"G_39",154.491103404137,434.051470221305,492.804502882784,-163.772194571727,-230.632984880763
"G_40",369.921638422506,674.610073140091,743.427207447314,71.4847364258067,13.3389521408266
"G_41",282.032933663639,507.233125334608,555.894329316276,54.4218107851838,7.79844161348642
"G_42",355.900594758369,694.13965202282,759.428428331953,-13.1559187186615,-88.7661476401062
"G_43",433.310286598614,670.429478000188,726.464169310354,190.604193855309,133.638926801098
"G_44",501.074106717849,725.283889488668,767.327944680239,241.816403177985,187.662015258971
"G_45",423.807630716532,687.957593616166,738.889798816172,100.313449209554,31.383091802644
"G_46",428.632267859881,634.847657555399,676.7893003494,171.792836337051,115.220594106471
"G_47",302.937141373871,470.435817513302,507.210994352843,93.5031635630945,47.0571754010746
"G_48",-203.311155856997,132.171687176055,210.078711644519,-529.37495384732,-592.074960809571
"G_49",160.357504429792,495.003666422004,559.69318370809,-206.406521253345,-286.580423417608
"G_50",708.46227680153,1180.36013812739,1253.95952291845,206.692699558918,109.994511403394
"G_51",120.17069497781,363.561844685217,411.69181072542,-144.53838235899,-202.172125861066
"G_52",120.043762595446,366.719748751433,416.567790559893,-119.181455931263,-166.656653314003
"G_53",711.312476711373,1096.16463005347,1158.57233365555,244.326299004616,150.721144463204
"G_54",-18.9976529689165,340.122103443704,401.422684842196,-282.132181988805,-326.745212482805
"G_56",-146.611316213141,128.087231739157,189.140605667903,-391.962028576231,-437.632439500382
"G_57",-207.329456217231,66.3539803317733,121.981996003646,-419.478704636511,-465.960390472705
"G_58",24.1188967960846,372.898585894162,447.366006758036,-348.86696436255,-427.358540455182
"G_59",-814.298656700896,-328.665929718189,-242.348497370834,-1207.68718428728,-1264.27651787148
"G_60",221.211053867396,627.529520233922,702.669298299679,-185.383401191826,-272.133373148248
"G_61",-204.137238271416,195.92219326709,277.264151706377,-599.729008325225,-673.379021871656
"G_62",-257.680777391499,-23.5853228176156,33.3401552236176,-482.804086788612,-527.830944056024
"G_63",147.703194700875,471.419254249338,549.954029149483,-219.182094200187,-292.203727460224
"G_64",34.8869271204,356.222467138794,424.114862752576,-304.628437488226,-376.376717537708
"G_65",-84.4167783591798,192.374055573427,244.765202280021,-301.322727986186,-343.163949429765
"G_66",-372.37377722648,-29.4236532736697,41.1934384819626,-676.426993538342,-731.250797058817
"G_67",-213.428135033704,111.079636158756,175.739607556207,-500.517096046415,-553.082484724754
"G_68",152.357775243836,370.08746251831,422.376497482674,-53.9190304808633,-103.522156364595
"G_69",-234.44736372568,-32.118507452114,7.39654999155544,-434.550456467426,-473.671588966344
"G_70",52.2560283301601,280.729897264645,341.093660256922,-174.321329926992,-220.905672588213
"G_71",-472.366645959824,-47.0965814719767,31.1500596806113,-824.413026150507,-889.55311510225
"G_72",-152.305663568473,179.923927803486,250.286145907372,-492.327087686511,-566.337736364513
"G_73",268.872235760716,561.542002426864,618.795055985038,-44.4196039281456,-112.677766385429
"G_74",-54.5901703965144,356.167441526208,434.242427332593,-471.166593814826,-542.580894994094
"G_75",-130.386536408907,100.890832050211,153.557927266165,-377.780680191362,-426.760802090775
"G_76",-121.497178257852,236.540430265745,304.749420373318,-481.639859451138,-552.408262059064
"G_77",197.903267824551,605.560128639185,691.043551268078,-210.434316273441,-290.714658130871
"G_78",-375.068225014276,35.7143698291373,121.219188524059,-779.389479959367,-858.203213405531
"G_79",-419.019205121608,-19.8712727048501,59.7983163500309,-776.202887154887,-834.532628145979
"G_80",6.21401240674497,372.569210124751,443.13030234393,-361.001950701376,-439.108732897018
"G_81",-170.686387591207,191.235110577827,265.086529410383,-535.196890162729,-606.41115668058
"G_82",-102.532180551647,224.674190854204,286.766354306282,-420.293364253475,-486.378595599943
"G_83",-616.895242651144,-166.088529363815,-81.6045541808844,-1064.21279130102,-1141.95548944639
"G_84",-284.154344907403,110.217824054057,200.806320741144,-674.029018903142,-755.772552593183
"G_85",-91.338066366192,235.143185662397,298.747027989251,-411.983624420153,-470.065221931756
"G_86",-351.806940835201,-16.2678441388144,41.7455200152586,-680.474761303077,-743.842708893575
"G_87",-637.383751033428,-194.913681956218,-112.876710570001,-1024.33224891021,-1084.72347905862
"G_88",-313.906950658234,108.019101201985,197.032420575516,-729.711792096078,-798.839290677798
"G_89",138.190249245671,550.813721014237,632.474799095253,-270.573402480037,-355.528868010873
"G_90",-254.193702459835,156.518110508073,233.985170206828,-660.384515542595,-739.310306185785
"G_91",-29.022991623351,360.989626595563,435.070670916417,-430.437411194137,-518.962024829017
"G_92",206.166333874855,620.316681791057,703.113687953384,-217.507826640353,-296.138370527751
"G_93",660.710070866837,1110.49187659063,1196.63801845474,181.105497593002,85.3421826750502
"G_94",107.258711664617,478.033351965331,549.518764582498,-278.626860751641,-371.404203677245
"G_95",-515.768979365997,-119.278998513377,-33.9525613339533,-875.149540227338,-948.572484119608
"G_96",-513.003985068111,-99.9260475318955,-11.5783635255197,-872.058017645664,-933.993658622704
"G_97",-576.331010297807,-127.075918859367,-32.8166216254339,-1015.56440941784,-1085.33524126939
"G_98",-67.9004744847534,140.639342953091,189.896928524623,-272.867050055786,-323.080058557837
